"son_name","type","objectID","parent_name","parent_type","parentId","name","type"
"Stuttgart Uhlbach","locality","080ddb6a-b95b-486b-a958-88dc7d80ed3b","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Steckfeld","locality","15af2366-e69f-45dc-8275-b56bbc6e7e0f","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Giebel","locality","2403c6d6-3559-4cb8-aca8-4c78bcd908c4","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Münster","locality","2ebee69b-dcb4-43a8-89c4-b5a21f1e7d36","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Rot","locality","3c1f1eaa-148c-4002-9e70-9cab50581d2f","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Freiberg","locality","531ae611-cc29-40f6-b2a5-bc17163e589c","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Sommerrain","locality","53eb936e-035f-4d40-afe8-f4dab3e57550","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Sonnenberg","locality","58fa682a-6b10-4883-ac9a-a769bb731aef","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Luginsland","locality","768ca763-77a2-4cc6-bd91-13f0f58d4e34","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Dürrlewang","locality","7b819f9c-79ba-4c01-b3e7-5ce49516722d","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Heumaden","locality","abadbc9a-9f23-40c4-b420-7e757e3d7dda","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Weilimdorf","locality","b52a1834-5244-4985-9f2b-958dd51d4f0b","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Stuttgart-Ost","locality","c7804743-1b13-4746-b35a-9d4f42ccaec5","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Rohr","locality","006e1fa1-6b4a-4b5c-8860-4788770d3493","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Hohenheim","locality","05d5d356-3ea6-4773-8915-d7f2f4ea5edb","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Wolfbusch","locality","20d2aa02-6662-469f-acb0-1f7cec0058ad","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Stuttgart Schönberg","locality","22488373-ce03-4383-b532-26bede3e6786","Stuttgart","department","2f57f3b7-779b-4e34-81e5-a9ba3c8a8332","Stuttgart","locality"
"Neunkirchen/Saar","locality","30d94d82-da95-4698-bf83-11246d36ac9d","Neunkirchen","department","6a8239fa-0521-4961-9f47-9c36934d08fa","Neunkirchen","locality"
"Neunkirchen/Saar","locality","30d94d82-da95-4698-bf83-11246d36ac9d","Neunkirchen","department","92554c63-2356-4594-a81b-e97b1293781a","Neunkirchen","locality"
"Neunkirchen/Saar","locality","30d94d82-da95-4698-bf83-11246d36ac9d","Neunkirchen","department","93cc8a0b-85ef-4779-9869-1f7843d62403","Neunkirchen","locality"
